image1,image2,mos1,mos2,worst1,best1,worst2,best2
banana_gQP_1_tQP_1.ply,banana_gQP_1_tQP_2.ply,60.30135594,56.05951863,20.0,95.0,10.0,85.0
banana_gQP_1_tQP_1.ply,banana_gQP_1_tQP_3.ply,60.30135594,52.14230175,20.0,95.0,0.0,65.0
banana_gQP_1_tQP_2.ply,banana_gQP_1_tQP_3.ply,56.05951863,52.14230175,10.0,85.0,0.0,65.0
banana_gQP_2_tQP_1.ply,banana_gQP_2_tQP_2.ply,43.47696839,43.98226716,20.0,95.0,10.0,85.0
banana_gQP_2_tQP_1.ply,banana_gQP_2_tQP_3.ply,43.47696839,39.80857854,20.0,95.0,0.0,65.0
banana_gQP_2_tQP_2.ply,banana_gQP_2_tQP_3.ply,43.98226716,39.80857854,10.0,85.0,0.0,65.0
banana_gQP_3_tQP_1.ply,banana_gQP_3_tQP_2.ply,29.10726664,23.95632388,20.0,95.0,10.0,85.0
banana_gQP_3_tQP_1.ply,banana_gQP_3_tQP_3.ply,29.10726664,22.65939287,20.0,95.0,0.0,65.0
banana_gQP_3_tQP_2.ply,banana_gQP_3_tQP_3.ply,23.95632388,22.65939287,10.0,85.0,0.0,65.0
banana_gsigma_0_tsigma_8.ply,banana_gsigma_0_tsigma_16.ply,83.0931383,60.4722494,20.0,95.0,10.0,85.0
banana_gsigma_0_tsigma_8.ply,banana_gsigma_0_tsigma_32.ply,83.0931383,40.11307634,20.0,95.0,0.0,65.0
banana_gsigma_0_tsigma_16.ply,banana_gsigma_0_tsigma_32.ply,60.4722494,40.11307634,10.0,85.0,0.0,65.0
banana_gsigma_2_tsigma_8.ply,banana_gsigma_2_tsigma_16.ply,50.75512514,49.66770221,20.0,95.0,10.0,85.0
banana_gsigma_2_tsigma_8.ply,banana_gsigma_2_tsigma_32.ply,50.75512514,31.34629454,20.0,95.0,0.0,65.0
banana_gsigma_2_tsigma_16.ply,banana_gsigma_2_tsigma_32.ply,49.66770221,31.34629454,10.0,85.0,0.0,65.0
banana_gsigma_4_tsigma_8.ply,banana_gsigma_4_tsigma_16.ply,31.97703197,27.01710822,20.0,95.0,10.0,85.0
banana_gsigma_4_tsigma_8.ply,banana_gsigma_4_tsigma_32.ply,31.97703197,23.38349674,20.0,95.0,0.0,65.0
banana_gsigma_4_tsigma_16.ply,banana_gsigma_4_tsigma_32.ply,27.01710822,23.38349674,10.0,85.0,0.0,65.0
banana_level_9.ply,banana_level_7.ply,89.49153987,7.109028314,20.0,95.0,0.0,65.0
banana_level_9.ply,banana_level_8.ply,89.49153987,23.08348257,20.0,95.0,10.0,85.0
banana_level_8.ply,banana_level_7.ply,23.08348257,7.109028314,10.0,85.0,0.0,65.0
banana_pqs_1_qs_16_rounded.ply,banana_pqs_1_qs_32_rounded.ply,82.92557282,78.10954901,5.0,95.0,4.0,86.0
banana_pqs_1_qs_16_rounded.ply,banana_pqs_1_qs_48_rounded.ply,82.92557282,61.89404966,5.0,95.0,4.0,78.0
banana_pqs_1_qs_16_rounded.ply,banana_pqs_1_qs_64_rounded.ply,82.92557282,40.01541846,5.0,95.0,5.0,65.0
banana_pqs_1_qs_32_rounded.ply,banana_pqs_1_qs_48_rounded.ply,78.10954901,61.89404966,4.0,86.0,4.0,78.0
banana_pqs_1_qs_32_rounded.ply,banana_pqs_1_qs_64_rounded.ply,78.10954901,40.01541846,4.0,86.0,5.0,65.0
banana_pqs_1_qs_48_rounded.ply,banana_pqs_1_qs_64_rounded.ply,61.89404966,40.01541846,4.0,78.0,5.0,65.0
banana_tsl_4_tqs_64.ply,banana_tsl_4_tqs_128.ply,54.12092417,52.49538462,5.0,95.0,4.0,86.0
banana_tsl_4_tqs_64.ply,banana_tsl_4_tqs_256.ply,54.12092417,34.18431286,5.0,95.0,4.0,78.0
banana_tsl_4_tqs_64.ply,banana_tsl_4_tqs_512.ply,54.12092417,29.94302564,5.0,95.0,5.0,65.0
banana_tsl_4_tqs_128.ply,banana_tsl_4_tqs_256.ply,52.49538462,34.18431286,4.0,86.0,4.0,78.0
banana_tsl_4_tqs_128.ply,banana_tsl_4_tqs_512.ply,52.49538462,29.94302564,4.0,86.0,5.0,65.0
banana_tsl_4_tqs_256.ply,banana_tsl_4_tqs_512.ply,34.18431286,29.94302564,4.0,78.0,5.0,65.0
banana_tsl_6_tqs_64.ply,banana_tsl_6_tqs_128.ply,83.18362987,79.9250077,5.0,95.0,4.0,86.0
banana_tsl_6_tqs_64.ply,banana_tsl_6_tqs_256.ply,83.18362987,61.62952635,5.0,95.0,4.0,78.0
banana_tsl_6_tqs_64.ply,banana_tsl_6_tqs_512.ply,83.18362987,35.85265105,5.0,95.0,5.0,65.0
